Program+ClientRequest
Program+ClientRequest
Program+ClientRequest
[04/06/2025 19:43:41] 127.0.0.1 GET / Parámetros de consulta:  Body: 
[04/06/2025 19:45:33] 127.0.0.1 GET / Sin parámetros Body: 
[04/06/2025 19:48:36] 127.0.0.1 GET /  
[04/06/2025 19:49:02] 127.0.0.1 GET / hola=chau 
[04/06/2025 19:49:22] 127.0.0.1 GET / hola=chau&como=estas&tu=bien 
[04/06/2025 19:53:58] 127.0.0.1 GET / hola=chau&como=estas&tu=bien 
[04/06/2025 19:54:02] 127.0.0.1 GET /asdasd  
[04/06/2025 19:57:44] 127.0.0.1 GET 404 /asdasd  
[04/06/2025 19:57:54] 127.0.0.1 GET 200 /  
[04/06/2025 19:59:18] 127.0.0.1 GET 404 /log_2025-06-04  
[04/06/2025 20:05:46] 127.0.0.1 GET 404 /log_2025-06-04  
[04/06/2025 20:08:41] 127.0.0.1 GET 404 /log_2025-06-04  
[04/06/2025 20:09:02] 127.0.0.1 GET 404 /log_2025-06-04  
[04/06/2025 20:09:02] 127.0.0.1 GET 404 /favicon.ico  
[04/06/2025 20:09:36] 127.0.0.1 GET 404 /log_2025-06-04  
[04/06/2025 20:10:49] 127.0.0.1 GET 404 /log_2025-06-04  
[04/06/2025 20:11:34] 127.0.0.1 GET 404 /log_2025-06-04  
[04/06/2025 20:11:48] 127.0.0.1 GET 404 /log_2025-06-04  
[04/06/2025 20:12:29] 127.0.0.1 GET 404 /log_2025-06-04  
[04/06/2025 20:13:11] 127.0.0.1 GET 404 /log_2025-06-04  
[04/06/2025 20:17:38] 127.0.0.1 GET 404 /log_2025-06-04  
[04/06/2025 20:17:47] 127.0.0.1 GET 404 /log_2025-06-04  
[04/06/2025 20:28:09] 127.0.0.1 GET 404 /  
[04/06/2025 20:29:02] 127.0.0.1 GET 404 /  
[04/06/2025 20:31:33] 127.0.0.1 GET 200 /index.html  
[04/06/2025 20:34:37] 127.0.0.1 GET 200 C:\Users\Brian\Desktop\TPRedes\bin\Debug\net8.0\logs\log_2025-06-04.txt  
